,view_num,inform_num,inform_id,reported_id,reported_address,post_time,reported_credit,weibo_content,repost_num,likes,comment_num,id_tweets,id_following,id_follower,label
39,16.0,1.0,I1przmR59,3676552201,  其他,2019-08-09 12:57:04,中,:特大台风席卷台州 台州 狂歌走天涯331004的微博视频,2,4,3,635,135,284,1
40,16.0,1.0,I1xzHCAI0,5040718691,  广东,2019-08-10 09:39:05,中,:#浙江台风##台风利奇马#继续跟进报道，工地吊机吹倒砸向附近居民楼，胆小者勿入，以免引起极度不适，希望里面没住人。 中影包小姐的微博视频 ,0,2,2,14993,1366,102594,1
41,29.0,1.0,I1qU4ur1S,2614436545,  浙江,2019-08-09 16:40:03,正常,:台风你真的很可怕,7,18,4,129645,153,1877236,1
42,77.0,1.0,I1sV3rl76,3807973089,  广西,2019-08-09 21:47:58,中,:#台风天骑手停送外卖##台风# 请给暴风雨中的这个外卖小哥点赞,116,4566,353,1919,1079,1064510,1
43,29.0,1.0,I1Crq76cs,2866073222,  江苏,2019-08-10 22:02:25,中,:#台风利奇马已致417万人受灾#鸟瞰台风“利奇马”，横扫人类，如世界末日席卷而来。太恐怖！ 电豚的微博视频,22,75,19,7972,720,81706,1
44,77.0,1.0,I1BeShFSq,5311097831,  河北,2019-08-10 18:58:46,中,:#台风眼##临海全市被淹#,61,166,28,3888,1101,31058,1
45,148.0,1.0,I1stFzakR,6393953260,  浙江,2019-08-09 20:40:30,中,:台风利奇马最大风力17级。台州下辖的温岭市,42,245,20,14277,406,496866,1
46,39.0,3.0,I1JwChWGU,1645817972,  广东,2019-08-11 16:04:27,中,:8月10日，陕西汉中，网友爆料一老人自残式碰瓷！老太太用头猛撞轿车保险杠，经协调，车主给老人赔偿了3000元。网友：这是敲诈勒索。燃新闻的秒拍视频,11,37,36,39839,565,1528605,1
47,381.0,195.0,I1revf6wd,6525589890,  北京,2019-08-09 17:30:23,中,:昨天上午，中国核潜发射全球打击的巨浪3型导弹，连发4颗。巨浪3是核导弹，射程13000公里。中国说：对战争的态度是决不先打第一枪，但决不允许对方打第二枪，这就要靠巨浪3了！  海军火力的微博视频,505,2912,318,2643,83,671658,1
48,25.0,1.0,I1J5GswQN,6591572031,  广东,2019-08-11 14:58:05,中,:#山东全省55个暴雨红色预警# 风王“利奇马”太厉害了！ 愿灾区人民平安🙏🙏🙏 湾区体育的微博视频,8,39,4,462,17,1461,1
49,28.0,1.0,I1CichXQW,6900469946,  其他,2019-08-10 21:39:42,中,:#临海或发生超历史性大洪水#房子都塌了，这该死的洪水 Christine29769的微博视频,0,1,32,35,177,11,1
50,34.0,1.0,I0XnCBZx3,3365355414,  陕西,2019-08-06 13:30:27,正常,:#搞笑内涵图[超话]#浙江温州：一女子酒后在20层楼雨棚上睡觉[汗]这就救援起来也太辣眼睛了吧 秦岭二月的微博视频,3,69,24,26789,4243,2460036,1
51,25.0,1.0,I0Y6Iz6bQ,2811592551,  黑龙江,2019-08-06 15:21:33,中,:浙江温州一女子酒后在20层楼雨棚上睡觉。雨棚质量真好 速度比猫快的微博视频,0,3,1,5623,971,8773,1
52,191.0,1.0,I0Qlweb3X,6078562289,  湖北,2019-08-05 19:36:02,中,:浙江温州一女子酒后在20层楼雨棚上睡觉,43,3490,422,29251,382,299898,1
53,25.0,1.0,I0O9MlxBp,6589325642,  天津,2019-08-05 14:01:37,中,:浙江温州一女子酒后在20层楼雨棚上睡觉。。。#金轮新闻资讯# 金轮新闻资讯的微博视频,10,26,9,14031,49,39693,1
54,13.0,1.0,I0SlD9oJK,1724256551,  山东,2019-08-06 00:41:48,中,:浙江温州一女子酒后在20层楼雨棚上睡觉 人生大戏待乐起的微博视频,1,1,3,8921,89,40375,1
55,109.0,1.0,HFzisifdc,3816737087,  北京,2019-07-28 16:49:57,中,:一场暴雨过后的西安钟楼、多希望再出现一次千年不遇的双海市蜃楼~全景一哥的秒拍视频 ,698,4822,618,4453,89,2392487,1
56,181.0,17.0,I1fpT7tiW,6424626846,  河南,2019-08-08 11:25:28,中,:【小三街头被原配暴打，站起来的瞬间惊艳众人】凤凰网消息：近日，一名小三被打的录像在网上传开。录像中的小三因为长相出众而走红网络，一开始小三被原配按在地上打的动弹不得，在围观好心人的劝说下才平复自己的情绪。随后小三被人搀扶起来，这一幕被一旁路人用手机记录下来，随即传到网上。网友被小三的惊世容颜所深深吸引，表示，长得这么漂亮为什么要去当小三呢？,122,16055,995,17091,638,580923,1
57,1395.0,226.0,HFRWMgkVc,7199046746,  四川,2019-07-30 16:18:44,中,:被子里的狗咬了，得了狂犬病！在地上学狗叫 好扎心 用户7199046746的微博视频,534,31481,2499,4,2,376,1
58,83.0,4.0,I1poaFUrK,6160433242,  其他,2019-08-09 12:48:42,中,:台风吹倒了塔吊，砸在行驶中的车上 台州 柯基那么翘的屁股的微博视频 ,4,77,18,87,25,77,1
59,306.0,1.0,I1qQT8rw0,3943342495,  河北,2019-08-09 16:32:11,中,:#台风利奇马来袭# 台风来袭，户外驾车需小心，避开风口，不然容易...安全第一. http://t.cn/AiT9k0gs,11,127,59,13127,189,3203079,1
60,92.0,1.0,I1ykNqQvA,3201509481,  北京,2019-08-10 11:35:07,中,:盱眙县一女子因感情受刺激爬上奔驰车。。。这都光光了看来爱的够深啊！ ,8,420,84,68596,148,2472328,1
61,66.0,1.0,I1tm7zm98,5144465848,  北京,2019-08-09 22:54:39,中,":【8岁女孩因无钱治病, 向父母连说三声“谢谢”, 自拔氧气管离世",42,507,111,40314,359,798172,1
62,224.0,5.0,I1sR2lp3A,1623404035,  海外,2019-08-09 21:38:03,中,":【8岁女孩因无钱治病, 向父母连说三声“谢谢”, 自拔氧气管离世",203,562,324,12193,330,1676908,1
63,214.0,1.0,I1yLyzrSI,6557230118,  其他,2019-08-10 12:41:03,中,":【8岁女孩因无钱治病, 向父母连说三声“谢谢”, 自拔氧气管离世",12,156,50,4412,633,391743,1
64,24.0,1.0,I1rg3Acxm,2704669457,  山东,2019-08-09 17:34:13,中,:中国天气网讯 中央气象台8月9日6时发布台风🌀红色预警。预计，“利奇马”将以每小时20公里左右的速度向西北方向移动，逐渐向浙江沿海靠近，将于10日凌晨到上午在浙江象山到苍南一带沿海登陆，最大可能在浙江台州到乐清一带沿海登陆（强台风级或超强台风级，14-16级，45-52米/秒）。登陆后，“利奇马”将转向偏北方向移动，强度逐渐减弱。经综合研判和应急会商，中国气象局领导8月9日8时30分签发命令，中国气象局办公室、减灾司、预报司、观测司，气象中心、气候中心、卫星中心、信息中心、探测中心、公共服务中心、气科院、机关服务中心、宣传科普中心、气象报社、华风集团立即进入台风Ⅱ级应急响应状态。浙江、福建、江苏、上海、山东及可能受影响的省级气象局根据实际研判启动或调整相应应急响应级别。各单位要严格按照Ⅱ级应急响应工作流程做好各项工作，及时将响应情况报告中国气象局。 http://t.cn/AiTClvEv,6,14,8,643,245,511,1
65,14.0,1.0,I1sxOmaRI,7267952918,  北京,2019-08-09 20:50:41,中,:分享视频 台州 http://t.cn/AiTpSJSD ,0,0,0,262,23,10326,1
66,39.0,1.0,HFxINly0s,5293292799,  浙江,2019-07-28 12:49:21,中,:华山捞尸队故意撞人下山摔死然后一个尸体赚一万五千块钱,1,3,1,1620,46,907,1
67,32.0,2.0,HFcNruQff,1202586970,  北京,2019-07-26 07:33:07,中,:#毽客视线# 此前，有人把民工骗到矿井杀害制造“矿难”骗赔赚钱；现在，又爆出有人把游客推下华山悬崖捞尸赚钱。这件事算是得到证实了！翻遍《二十四史》，还没有见过如此恶行恶状！不禁要问：这是人间还是鬼域？是怎样的社会环境才会使人变成恶魔？奉劝那些敢去各种地方浪的独行侠们（特别是女性）这个世界没你想象的那么好，处处有危机和陷阱，建议你们去搜搜“暗网”。,15,46,26,4025,12,135690,1
68,18.0,1.0,HFQSQbiOu,3045706314,  陕西,2019-07-30 13:36:17,中,:#杨春林情感文库[超话]# 7月30日11:30左右，紫阳县东三岔路口发生山体崩塌，路边一辆SUV轿车和一辆面包车被落石砸中，事发后消防、公安、交警都已前往营救。据初步了解，事故导致一人当场死亡，两人受伤，其中一辆被埋汽车中疑似还有被困人员，目前救援工作正紧张进行。道路已进行交通管制，请车辆提前绕行,0,2,10,6042,6522,636533,1
69,103.0,32.0,HFaIBrt2q,5692541220,  四川,2019-07-26 02:15:42,中,:回顾：疑似后妈出手家暴女孩，被打女孩奄奄一息，护着女孩的小男该一个眼神引起网友的重视…… ,242,4764,362,57292,331,6775354,1
70,27.0,3.0,HFQX57d9Z,6622625535,  天津,2019-07-30 13:46:44,中,:#突发# 【紫阳发生山体塌方 俩车被砸中一人当场身亡】7月30日11:30左右，紫阳县东三岔路口发生山体崩塌，路边一辆suv轿车和一辆面包车被落石砸中，事发后消防、公安、交警都已前往营救。据初步了解，事故导致一人当场死亡，两人受伤！其中一辆被埋汽车中疑似还有被困人员，目前救援工作正紧张进行。道路已进行交通管制，请车辆提前绕行。 #启迪时间# 启迪时间的微博视频,0,1,0,1083,16,4345,1
71,36.0,2.0,I0g0Vtl7w,5733413903,  重庆,2019-08-01 23:06:25,中,:联合国总部搬迁中国正式启动：联合国西安总部工程进展概况 ：于2019年6月4曰在北京华侨大厦三楼会议室正式揭开围幕，由和平园公司主办的《联合国总部西安项目设计研讨会》上正式公布以下数字： 1、位置在西安城 秦岭以北地带。 2、总规划面积216平方公里。 3、拆迁总面积1700万平方米。 4、征地216平方公里。 5、总投资约26500亿人民币。 6、入住人口600万人口。 7、建设周期自2019年9月9日起六年完成。 8、其中有联合国总部大楼、世界银行总部大楼、维和部队总部大楼，高度为350米。 9、地下工程庞大，城市地面以上不走汽车。 10、全部采用新能源交通技术。 11、调水15亿立方米/年。 12、目前总规审查已获最高决策批准。（转） 重庆,0,2,6,23533,715,535,1
72,206.0,1.0,I0dOrr1hU,5670766551,  北京,2019-08-01 17:30:10,中,:实拍X大学向“国际学生”发放助学补贴半年/三万！领取人签名都不会～摁手印后拿钱扬长而去！😱令国民特别是辍学生情何以堪？！,1,9,33,782,251,198,1
73,111.0,1.0,I0Vobm7Ar,5212268104,  海外,2019-08-06 08:26:19,中,:广州某中学国际部外教，将避孕套和教师证明放在一起发朋友圈，并配文“teachin inChina（在中国教书）”。希望学校与社会能够谴责与惩罚这种洋垃圾行为。  ,111,3295,226,50812,159,7007581,1
74,93.0,2.0,I0dQzdfhw,5711070913,  海外,2019-08-01 17:35:24,中,:网友爆料：吉林延边老头沟御龙冲浪出事了，正常冲浪开关调到4，因为老头喝酒把开关调到9，导致冲浪人员受伤。。。 最抽疯的视频的微博视频,32,809,95,47295,189,2194696,1
75,65.0,2.0,I0Cemc7zI,2105980803,  江苏,2019-08-04 07:39:55,中,:#陕西子洲山体滑坡#人类在自然灾害面前真的好渺小，看到这一幕真的瑟瑟发抖！望平安 实时星闻的微博视频 ,68,129,78,14223,847,1021431,1
76,55.0,1.0,I0X7za3w3,3201509481,  北京,2019-08-06 12:50:53,中,:广州某中学国际部外教，将避孕套和教师证明放在一起发朋友圈，并配文“teachin inChina（在中国教书）”。希望学校与社会能够谴责与惩罚这种洋垃圾行为。 ,18,248,50,68598,148,2472489,1
77,24.0,1.0,I0YLVEADD,5691272626,  湖北,2019-08-06 17:03:05,正常,:广州某中学国际部外教，将避孕套和教师证明放在一起发朋友圈，并配文“teachin inChina（在中国教书）”。希望学校与社会能够谴责与惩罚这种洋垃圾行为,5,53,20,42099,412,3485267,1
78,211.0,2.0,I0LGi0nId,6420767763,  河北,2019-08-05 07:43:28,中,:@狗一样的钰 ：实名举报广州某中学国际部外教，将避孕套和教师证明放在一起发朋友圈，并配文“teachin inChina（在中国教书）”。希望学校与社会能够谴责与惩罚这种洋垃圾行为。 ,331,9666,437,2563,235,35215,1
79,32.0,2.0,I0P8NsEWv,6597652719,  北京,2019-08-05 16:31:57,中,:广州市二十一中学要火！！！该校一国际部外教老师在朋友圈晒了一张图。图片显示，在一堆避孕套之上放着一张该外教的老师证明，配文：Teachin in China看来他工作水平不咋地，但生活很“性”福…大家扩散一下啊！看看怎么处理这狗屎！是不是可以像 #香港市民暴打黑衣人# 那样暴打丫一顿后直接遣返？,6,121,43,2833,639,20846,1
80,33.0,1.0,I0M3mbaCN,2077946951,  北京,2019-08-05 08:40:18,中,:2017年10月1日晚，拉斯维加斯露天音乐会上发生了枪击后，第二天德州就变成这种画风了……,19,131,71,18829,1888,764008,1
81,19.0,1.0,I0WCmuLYo,5711070913,  海外,2019-08-06 11:34:01,中,:浙江温州一女子酒后在20层楼雨棚上睡觉 最抽疯的视频的微博视频,5,46,12,47295,189,2194696,1
82,84.0,1.0,HDHKW9a9p,1640029171,  上海,2019-07-16 10:41:29,中,:广东法院对遛狗不栓绳的遛狗人，直接判罚172万，逾期不交拍卖房产。大快人心、喜闻乐见，,202,274,36,8786,336,221215,1
83,43.0,4.0,HEaK61Uc3,1971537652,  上海,2019-07-19 12:29:04,中,:由于上周发生上下客区交通事故导致一名横穿机动车道旅客死亡事件，浦东机场上下客区机动车限速已降至20km/h，请一定要注意！,29,48,35,43783,3192,619617,1
84,46.0,1.0,HAPpzwgZx,1873364460,  湖北 襄阳,2019-06-27 12:39:55,中,:传说是在四川地震中发现的，我绝不相信有这么大的巨蟒，你呢？！ 襄阳 ,1,5,3,12126,153,1890,1
85,107.0,1.0,HEdbKeR6n,2162706231,  北京 朝阳区,2019-07-19 18:42:40,中,:巴西一个神父说：“胖女人不能上天堂！”然后... 布小什大师的秒拍视频 ,60,714,5,9500,760,376545,1
86,79.0,1.0,HDAgko6Dp,5864631680,  辽宁,2019-07-15 15:36:51,中,:玛莎拉蒂肇事女被传患上了精神病? 什么意思？？？ ,222,4813,1046,9678,235,1652283,1
87,63.0,1.0,HEDyncego,1579955845,  河南,2019-07-22 13:49:51,中,:【艾滋病感染人数直线上升，尤其是高校彻底沦陷了】资讯点评：非洲黑人留学生和允许艾滋病人进入两项政策是造成艾滋病泛滥的主要原因！,71,299,96,5307,1132,135704,1
88,22.0,1.0,HESy6BWbW,1163077420,  广东 广州,2019-07-24 04:00:24,中,:2014年12月31日晚23时35分许，上海市黄浦区外滩陈毅广场发生群众拥挤踩踏事故，致35人死亡，43人受伤。,0,0,0,6266,1187,1100482,1
89,155.0,2.0,HEPZfgDls,2156393955,  北京,2019-07-23 21:29:00,正常,:【艾滋病感染人数直线上升，尤其是高校彻底沦陷了】资讯点评：非洲黑人留学生和允许艾滋病人进入两项政策是造成艾滋病泛滥的主要原因！,78,847,199,34543,77,1743175,1
90,1073.0,19.0,HEBQcwlQA,1280795897,  山东,2019-07-22 09:28:17,中,:【艾滋病感染人数直线上升，尤其是高校彻底沦陷了】资讯点评：非洲黑人留学生和允许艾滋病人进入两项政策是造成艾滋病泛滥的主要原因！,1866,24183,3406,15973,361,217472,1
91,23.0,1.0,HENFQgoPz,2773277335,  其他,2019-07-23 15:35:42,中,:孩子在车里玩手机，父母在外面加油。嘭的一声巨响，车毁人亡！[难过]提醒👉加油站请勿玩手机！因为我们大多数人都曾这么做过。尤其是现在天气热，更加要注意🚨 🚨 张帅华-的秒拍视频 ,0,3,0,6007,600,2977,1
92,29.0,1.0,HE7QAxIss,3681785620,  其他,2019-07-19 05:06:49,中,:父母在外面加油，小孩在🚘里玩手机，车毁人亡！为了安全，加油站请勿玩手机！意外无处不在…🙏 永州 liuchaoyuang的秒拍视频 ,3,7,5,4297,474,725,1
93,23.0,1.0,HDZV3jfoH,1269285350,  湖北,2019-07-18 08:55:51,中,:湖北的朋友们，有个被拐儿童在广东汕头派出所，口音像湖北的，转发一下希望早点找到他爸妈！爱心接力🙏🙏🙏看到这种消息，非常痛恨人贩子，非常心疼孩子，愿他们一家早日团聚🙏🙏 童颜永在--心理医生的微博视频 ,1,2,0,177536,4158,35774,1
94,40.0,2.0,HF61krPV5,5498415038,  北京,2019-07-25 14:18:06,中,:⚠️⚠️友情提醒⚠️⚠️加油站里千万不要用手机！视频中的父亲在外面加油，小孩子在车里打游戏，结果就……#车轮上的世界# 百家车坛_许永福的秒拍视频 ,5,13,11,49627,155,1128735,1
95,2163.0,6.0,HELQCfyjh,1842972325,  海外,2019-07-23 10:56:46,中,:我他妈今天才知道，我们一直有交卫生巾税。今年四月一日以前都是17%，现在13%。而印度去年七月取消了原本12%的卫生巾税。呵呵,4140,2361,7,7696,588,969,1
96,20.0,1.0,HFe8gfh6g,6336987096,  辽宁,2019-07-26 10:57:09,正常,:【艾滋病感染人数直线上升，尤其是高校彻底沦陷了】资讯点评：非洲黑人留学生和允许艾滋病人进入两项政策是造成艾滋病泛滥的主要原因！  ,7,14,7,6976,122,54870,1
